id,subject_id,device_id,prior_use,instruction_difficulty,instruction_comments,assembly_difficulty,assembly_comments,collection_difficulty,collection_comments,leakage
202,41,2,Never,Very easy,,Very easy,,Difficult,Lack of a funnel makes it hard to direct the saliva into the tube. It also enhances the chances of air bubbles forming.,TRUE
203,41,3,Never,Very easy,,Very easy,,Very easy,This is a little strange in the way it collects saliva - but super easy.,FALSE
204,41,4,Never,Fair,It was a little confusing at first - but I recovered.,Fair,,Fair,Pushing on the syringe is a bit tricky.,FALSE
205,41,5,More than 3 times,Very easy,,Very easy,,Fair,It seemed very difficult to produce saliva on cue at first. Since I've used this multiple times now I know what I should do.,FALSE
206,42,1,Never,Very easy,,Very easy,,Very easy,,FALSE
207,42,2,Never,Easy,,Easy,,Fair,,TRUE
208,42,3,Never,Easy,Small font,Fair,Both compartment opened at the same time.,Difficult,"Took a while, hard not to chew.",TRUE
209,42,4,Never,Difficult,,Fair,,Difficult,,TRUE
210,42,5,More than 3 times,Very easy,,Very easy,,Very easy,,TRUE
211,43,1,Never,Very easy,,Very easy,,Very easy,Easier to hold and better funnel design than SwabSeq.,FALSE
212,43,2,Never,Very easy,,Very easy,,Easy,Slightly more annoying than the funnel/tube one. Felt like I was always on the verge of spilling it.,TRUE
213,43,3,Never,Fair,,Easy,,Easy,Less unpleasant than the Oasis.,FALSE
214,43,4,Never,Fair,,Easy,,Difficult,Felt like it took a long time and the collector is very unpleasant.,TRUE
215,43,5,More than 3 times,Very easy,,Easy,,Fair,,FALSE
216,44,1,Never,Fair,"Not descriptive, doesn't explain how to attach tube to funnel, barely even explains that you're simply spitting in a tube.",Easy,,Easy,Easier than device #3 (Passive drool). Nothing simpler than spitting in a big fat test tube.,TRUE
217,44,2,Never,Difficult,Not clear what part of the saliva collection was ok to touch and what needed to be kept sterile.,Easy,,Difficult,Requires a lot of saliva & relies entirely on someone's unassisted rate of salivation.,TRUE
218,44,3,Never,Fair,Wasn't sure at first if the inner tube should be kept or tossed.,Very easy,,Very easy,,FALSE
219,44,4,1-3 times,Fair,Used once before for a workplace drug test. Familiar with the design.,Fair,"Easy since I've sort of seen it done before, but I would understand it being very difficult for someone else's first time.",Very easy,Easy but slow.,FALSE
220,44,5,Never,Very easy,,Fair,Funnel does not fit in the top of the collection tube.,Very easy,,FALSE
221,45,1,Never,Easy,,Very easy,,Easy,,FALSE
222,45,2,Never,Very easy,,Very easy,,Fair,It's a little hard to see the tube while collecting.,FALSE
223,45,3,Never,Very easy,,Easy,,Very easy,,FALSE
224,45,4,1-3 times,Fair,,Easy,,Difficult,"The hard part is pushing down on the syringe. The collector is a bit uncomfortable, but it does help saliva production.",FALSE
225,45,5,Never,Very easy,,Very easy,,Fair,"Small funnel, leakage might be more likely",FALSE
226,46,1,Never,Very easy,,Very easy,,Very easy,,FALSE
227,46,2,Never,Easy,,Fair,,Fair,,FALSE
228,46,3,Never,Very easy,,Very easy,,Easy,,FALSE
229,46,4,Never,Fair,,Very easy,,Fair,,TRUE
230,46,5,More than 3 times,Easy,"Instructions say to ""think of favorite food"" to salivate but then I spit that all out into a cup before starting.",Easy,,Easy,,FALSE
231,47,1,Never,Very easy,No instruction on volume or foam.,Very easy,,Easy,"Spitting accurately is not very easy, it's just easy.",FALSE
232,47,2,Never,Easy,,Very easy,,Fair,Messy,TRUE
233,47,3,Never,Fair,What the heck is this picture with the water cup that says 1-5 sec? No mention of the tube having two parts.,Easy,Surprised when the tube came apart.,Very easy,There's no way I produced enough saliva in 2 min. No way to gauge if there was enough. Swab seemed pretty dry but I had to use my fingers to pull it from mouth so definitely got some saliva on hand.,TRUE
234,47,4,Never,Fair,Thought it was a syringe to suck out the pooled saliva at first. Was obviously not when I opened the kit.,Very easy,,Very easy,Very slow though. Difficult to gauge progress.,FALSE
235,47,5,More than 3 times,Very easy,The think of favorite foods comment is actually very helpful. The little picture of pizza was especially nice.,Easy,Only trouble in that they are so tiny.,Easy,The challenge is to not make a mess spitting into the funnel.,FALSE
236,48,1,Never,Very easy,,Very easy,,Very easy,,FALSE
237,48,2,Never,Easy,Referring to devices/parts before the user looks at them is not ideal. Maybe user has to open the packaging first and then read instructions?,Very easy,,Difficult,This procedure lacks decency.,TRUE
238,48,3,Never,Fair,Picture 1 is confusing.,Fair,"Instructions did not mention that the cap needs to be pulled, not twisted.",Easy,Making the users touch the saliva infused pad is not ideal. What if they can't wash hands immediately afterwards?,TRUE
239,48,4,Never,Very difficult,"Instruction manual reads like a research paper. Not user friendly. Referring to Fig. 4, using acronyms, some hard German-like words, referring to a video on their website make it worse. And, the figures were not entirely clear.",Easy,,Easy,Pressing into the compression tube for 30 s is hard.,FALSE
240,48,5,1-3 times,Very easy,,Very easy,,Easy,,FALSE
241,49,1,Never,Very easy,Unclear from instructions the quality of specimen needed.,Very easy,Easy to assemble. Only (small) issue is with holding the funnel in place while collecting specimen.,Easy,"1mL took a while to collect, but otherwise easy.",FALSE
242,49,2,Never,Easy,The pictures in the instructions could be better (more clear) but not essential.,Easy,,Fair,"The collection process seemed to create a lot of bubbles (even through the instructions state the ""vented design"" reduces foaming). There was so much foam, that it started overflowing through the vent & it took longer than needed to collect sufficient sample.",TRUE
243,49,3,Never,Difficult,"The images are unclear & provide additional instructions that were not stated/included in the written instructions (e.g. step #1 in the picture instructs the user not to eat 1 hr prior to collecting sample & also requires the user to rinse their mouths prior to collecting sample. The instructions also don't explain all components of the kit (i.e. the tube inside the outer tube). The user may toss the inner tube, if it weren't (verbally) explained that it is meant to be kept & returned with the sample inside. The last issue is that there is no quantitative marker for the amount of sample that must be collected. However the instructions state that ""if an extremely small amount of saliva is produced, leave the swab in the mouth for longer."" It's unclear what is considered an extremely small amount.",Easy,,Very easy,"It was easy to collect, I'm just uncertain I provided enough sample to receive accurate results from the test.",FALSE
244,49,4,Never,Easy,,Easy,,Difficult,"Took longer to collect enough saliva to transfer to the eppendorf tube. Also messy (when pushing down the plunger, excess sample was expelled through the space between the eppendorf & collection tube). Also required more saliva since not everything is efficiently transferred to the eppendorf from the sponge.",TRUE
245,49,5,Never,Very easy,,Easy,,Difficult,It was difficult to collect specimen. Saliva would easily leak out between the funnel & collection tube. Half my saliva ended up on the outside of the collection tube.,TRUE
246,50,1,Never,Fair,,Very easy,,Easy,,TRUE
247,50,2,Never,Fair,,Easy,,Easy,,FALSE
248,50,3,Never,Difficult,,Easy,,Easy,,TRUE
249,50,4,Never,Difficult,,Fair,,Very difficult,,TRUE
250,50,5,More than 3 times,Very easy,They tell you tips for pooling saliva!,Easy,,Easy,,TRUE
251,51,1,Never,Difficult,"Images on package were clear, instructions on sheet included extraneous information",Easy,,Very easy,,FALSE
252,51,2,Never,Easy,,Easy,,Fair,,FALSE
253,51,3,Never,Difficult,Very tiny text,Easy,,Easy,,TRUE
254,51,4,Never,Fair,Preservative statement is unnecessarily confusing,Easy,,Difficult,,TRUE
255,51,5,Never,Very easy,,Easy,,Easy,Lots of foaming due to narrowness of tube,TRUE
256,52,1,Never,Easy,No information about the volume of saliva to collect on the manual.,Very easy,,Very easy,,FALSE
257,52,2,Never,Very easy,There is no information about the volume of the sample to collect on the manual.,Very easy,,Very easy,,TRUE
258,52,3,Never,Fair,The instruction figure for pre-test requirement is kind of confusing. No clear information mentions that the mini-tube should be kept. Instruction is pretty short so that it does not require too much reading.,Easy,,Fair,"Easy to collect but takes long. Also, there are risks of contamination, e.g. device (mini tube) surface touching dirty surface; hands directly touching the cotton (as shown on the instructions)",FALSE
259,52,4,Never,Easy,,Very easy,,Difficult,"Taking too long to meet the requirement for collecting enough sample as instructed, and the actual sample collected was far more than the volume shown on the manual.",TRUE
260,52,5,More than 3 times,Easy,"No clear information about the optimal volume of sample to collect on the manual. This instruction provides tips for better saliva secretion, which is great.",Easy,,Very easy,,FALSE
261,53,1,Never,Very easy,"Not sure how much to collect, unless instructed by proctor.",Very easy,,Easy,"Easy to collect, but needed lots of time to collect enough sample.",FALSE
262,53,2,Never,Easy,"Did not mention removing cap from tube, also some words not used very commonly e.g. cryotubes",Very easy,,Easy,Easy to collect but hard to move device to check volume which made it more difficult.,FALSE
263,53,3,Never,Easy,The text was not sufficient to complete the test.,Very easy,,Easy,Getting the cotton swab out and into mouth was cumbersome and felt strange holding it with my bare hands.,FALSE
264,53,4,Never,Difficult,The schematic and words were not clear enough to indicate what needed to be done for sample collection.,Easy,,Difficult,Took a long time and had to remove collection pad to check several times.,TRUE
265,53,5,More than 3 times,Very easy,,Very easy,,Easy,Had to check to make sure I wasn't collecting excess bubbles.,FALSE
266,54,1,Never,Very easy,,Very easy,,Easy,,FALSE
267,54,2,Never,Very easy,,Very easy,,Fair,Difficult to produce a lot of saliva.,TRUE
268,54,3,Never,Very easy,,Very easy,,Easy,,FALSE
269,54,4,Never,Fair,Didn't realize that collector needed to be removed from compression tube.,Very easy,,Fair,,FALSE
270,54,5,Never,Very easy,,Very easy,,Very easy,,TRUE
271,55,1,Never,Easy,,Very easy,,Easy,,FALSE
272,55,2,Never,Fair,,Very easy,,Easy,,FALSE
273,55,3,Never,Very easy,,Easy,,Very easy,,FALSE
274,55,4,Never,Fair,,Easy,,Fair,,TRUE
275,55,5,Never,Easy,,Easy,,Easy,,FALSE
276,56,1,Never,Easy,,Very easy,,Easy,,FALSE
277,56,2,Never,Fair,,Fair,,Difficult,,TRUE
278,56,3,Never,Easy,,Easy,,Fair,,FALSE
279,56,4,Never,Difficult,,Fair,,Fair,,TRUE
280,56,5,Never,Very easy,,Very easy,,Fair,,TRUE
281,57,2,Never,Easy,,Easy,,Difficult,The air channels allowed saliva to escape and leak.,TRUE
282,57,3,Never,Easy,A bit small but otherwise fine.,Very easy,,Very easy,Doing nothing made the 2 min feel longer than if there was more action.,TRUE
283,57,4,Never,Fair,Understanding the components and how they worked took a moment,Fair,Managing 3 parts without dropping them was a bit difficult.,Easy,"Quite simple once I understood how it worked, wasn't sure if it was working at first because the color wasn't changing.",FALSE
284,57,5,More than 3 times,Easy,,Easy,,Difficult,"Equalizing the air pressure with the surface tension is difficult, meaning the saliva doesn't want to go into the tube easily.",TRUE
285,58,2,Never,Easy,,Easy,,Easy,,TRUE
286,58,3,Never,Easy,,Very easy,,Easy,,FALSE
287,58,4,Never,Fair,,Easy,,Fair,,TRUE
288,58,5,Never,Very easy,,Very easy,,Very easy,,TRUE
289,59,2,Never,Difficult,"The second and third pictures seemed contradictory. I don't think I would have used it right without further clarifications,",Easy,,Very easy,,FALSE
290,59,3,Never,Very easy,,Very easy,,Very easy,This was way more comfortable than spitting into something. I really liked it.,FALSE
291,59,4,Never,Very difficult,There are too many steps and it's hard to follow.,Fair,Having to push all the way down and all the postprocessing that is required is very inconvenient.,Fair,It felt uncomfortable in the mouth because a big part is sticking out.,FALSE
292,59,5,,Fair,There is lots of issues with the saliva being stuck at the funnel and instructions do not tell you how to deal with that.,Very easy,,Very difficult,Saliva kept leaking out and being stuck in the funnel. Plus having the funnel so close to your mouth is disgusting.,TRUE
293,60,2,Never,Easy,,Easy,,Very easy,"I still had to suck out spit, my saliva didn't pool fast enough, and ""guiding"" it didn't really work.",FALSE
294,60,3,Never,Easy,The small font was the biggest problem.,Easy,I wasn't sure how to get the first cap off.,Very easy,,FALSE
295,60,4,Never,Difficult,Probably need a different name than Eppendorf tube.,Difficult,,Easy,"It was pretty simple, I just got impatient.",TRUE
296,60,5,Never,Easy,,Fair,I'm glad someone was there to point out where to put everything,Difficult,It wouldn't go down the tube. Very hard to actually get it to go through.,TRUE
